Shortended Words,Normal Words,Denormalize binary,Normalize binary
1ce,Once,00110001 01100011 01100101,01001111 01101110 01100011 01100101
1dr,Wonder,00110001 01100100 01110010,01010111 01101111 01101110 01100100 01100101 01110010 00001101 00001010
1st,First,00110001 01110011 01110100,01000110 01101001 01110010 01110011 01110100 00001101 00001010
2dy,Today,00110010 01100100 01111001,01010100 01101111 01100100 01100001 01111001 00001101 00001010
2geder,Together,00110010 01100111 01100101 01100100 01100101 01110010,01010100 01101111 01100111 01100101 01110100 01101000 01100101 01110010 00001101 00001010
2mor,Tumor,00110010 01101101 01101111 01110010,01010100 01110101 01101101 01101111 01110010
2moro,Tommorrow,00110010 01101101 01101111 01110010 01101111,01010100 01101111 01101101 01101101 01101111 01110010 01110010 01101111 01110111
2nd,Second,00110010 01101110 01100100,01010011 01100101 01100011 01101111 01101110 01100100 00001101 00001010
2nite,Tonight,00110010 01101110 01101001 01110100 01100101,01010100 01101111 01101110 01101001 01100111 01101000 01110100 00001101 00001010
2ty,Twenty,00110010 01110100 01111001,01010100 01110111 01100101 01101110 01110100 01111001 00001101 00001010
2x,Twice,00110010 01111000,01010100 01110111 01101001 01100011 01100101
3some,Theresome,00110011 01110011 01101111 01101101 01100101,01010100 01101000 01100101 01110010 01100101 01110011 01101111 01101101 01100101
4nr,Foreigner ,00110100 01101110 01110010,01000110 01101111 01110010 01100101 01101001 01100111 01101110 01100101 01110010
5n,Fine,00110101 01101110,01000110 01101001 01101110 01100101
6tn,Sixteen,00110110 01110100 01101110,01010011 01101001 01111000 01110100 01100101 01100101 01101110
6y,Sexy,00110110 01111001,01010011 01100101 01111000 01111001
7k,Sick,00110111 01101011,01010011 01101001 01100011 01101011
8t,Ate,00111000 01110100,01000001 01110100 01100101
A3bt,Attribute,01000001 00110011 01100010 01110100,01000001 01110100 01110100 01110010 01101001 01100010 01110101 01110100 01100101
A3btn,Attribution,01000001 00110011 01100010 01110100 01101110,01000001 01110100 01110100 01110010 01101001 01100010 01110101 01110100 01101001 01101111 01101110
Abt,About,01000001 01100010 01110100,01000001 01100010 01101111 01110101 01110100
Acct,Account,01000001 01100011 01100011 01110100,01000001 01100011 01100011 01101111 01110101 01101110 01110100
Accur,Accurate,01000001 01100011 01100011 01110101 01110010,01000001 01100011 01100011 01110101 01110010 01100001 01110100 01100101
Ack,Acknowledge,01000001 01100011 01101011,01000001 01100011 01101011 01101110 01101111 01110111 01101100 01100101 01100100 01100111 01100101
Add,Address,01000001 01100100 01100100,01000001 01100100 01100100 01110010 01100101 01110011 01110011
Admin,Administrator,01000001 01100100 01101101 01101001 01101110,01000001 01100100 01101101 01101001 01101110 01101001 01110011 01110100 01110010 01100001 01110100 01101111 01110010
Ads,Advertisment,01000001 01100100 01110011,01000001 01100100 01110110 01100101 01110010 01110100 01101001 01110011 01101101 01100101 01101110 01110100
Agi,Agility,01000001 01100111 01101001,01000001 01100111 01101001 01101100 01101001 01110100 01111001
Agr,Aggro,01000001 01100111 01110010,01000001 01100111 01100111 01110010 01101111
Aight,Alright,01000001 01101001 01100111 01101000 01110100,01000001 01101100 01110010 01101001 01100111 01101000 01110100
Alt,Alternate,01000001 01101100 01110100,01000001 01101100 01110100 01100101 01110010 01101110 01100001 01110100 01100101
Ammo,Ammunition,01000001 01101101 01101101 01101111,01000001 01101101 01101101 01110101 01101110 01101001 01110100 01101001 01101111 01101110
Amp,Ampere,01000001 01101101 01110000,01000001 01101101 01110000 01100101 01110010 01100101
App,Application,01000001 01110000 01110000,01000001 01110000 01110000 01101100 01101001 01100011 01100001 01110100 01101001 01101111 01101110
Arg,Argument,01000001 01110010 01100111,01000001 01110010 01100111 01110101 01101101 01100101 01101110 01110100
Asmb,Assemble,01000001 01110011 01101101 01100010,01000001 01110011 01110011 01100101 01101101 01100010 01101100 01100101
Ast,Assist,01000001 01110011 01110100,01000001 01110011 01110011 01101001 01110011 01110100
Atk,Attack,01000001 01110100 01101011,01000001 01110100 01110100 01100001 01100011 01101011
Aw,Awe,01000001 01110111,01000001 01110111 01100101
Aweso,Awesome,01000001 01110111 01100101 01110011 01101111,01000001 01110111 01100101 01110011 01101111 01101101 01100101
Azn,Asian,01000001 01111010 01101110,01000001 01110011 01101001 01100001 01101110
B,Back,1000010,01000010 01100001 01100011 01101011
B4,Before,01000010 00110100,01000010 01100101 01100110 01101111 01110010 01100101
Bc,Busy,01000010 01100011,01000010 01110101 01110011 01111001
Bec,Because,01000010 01100101 01100011,01000010 01100101 01100011 01100001 01110101 01110011 01100101
Bday,Birthday,01000010 01100100 01100001 01111001,01000010 01101001 01110010 01110100 01101000 01100100 01100001 01111001
Bf,Boyfriend,01000010 01100110,01000010 01101111 01111001 01100110 01110010 01101001 01100101 01101110 01100100
Bhd,Behind,01000010 01101000 01100100,01000010 01100101 01101000 01101001 01101110 01100100
Blk,Block,01000010 01101100 01101011,01000010 01101100 01101111 01100011 01101011
Bn,Banned,01000010 01101110,01000010 01100001 01101110 01101110 01100101 01100100
